Date,EV Total,Average Price
January 31 2017,23121,85.359
February 28 2017,23825,81.707
March 31 2017,24511,79.05391304
April 30 2017,25323,77.00526316
May 31 2017,26090,71.54272727
June 30 2017,26849,67.65772727
July 31 2017,27535,66.6525
August 31 2017,28199,64.83304348
September 30 2017,28920,67.007
October 31 2017,29754,66.20818182
November 30 2017,30437,63.58666667
December 31 2017,31053,64.6285
January 31 2018,32067,75.48714286
February 28 2018,32621,68.15473684
March 31 2018,33414,65.94952381
April 30 2018,34292,67.40285714
May 31 2018,35493,70.75409091
June 30 2018,36618,67.66809524
July 31 2018,37468,67.01190476
August 31 2018,38379,65.07045455
September 30 2018,39298,61.23421053
October 31 2018,41014,58.56826087
November 30 2018,42663,48.99142857
December 31 2018,43953,39.70473684
January 31 2019,45759,41.76761905
February 28 2019,46511,44.44315789
March 31 2019,47015,43.30047619
April 30 2019,48321,45.20571429
May 31 2019,49299,38.84142857
June 30 2019,50394,36.9115
July 31 2019,51673,39.80590909
August 31 2019,52655,34.11090909
September 30 2019,53664,35.9695
October 31 2019,55551,32.96782609
November 30 2019,56195,35.699
December 31 2019,57035,38.43380952
January 31 2020,59308,37.81904762
February 29 2020,59912,32.96578947
March 31 2020,60788,17.55454545
April 30 2020,61085,15.66238095
May 31 2020,61070,17.2385
June 30 2020,61431,19.68136364
July 31 2020,62963,18.62454545
August 31 2020,63718,19.45619048
September 30 2020,64481,17.85666667
October 31 2020,65746,15.41
November 30 2020,67273,18.7235
December 31 2020,68372,22.22
January 31 2021,70285,24.19210526
February 28 2021,71466,26.13111111
March 31 2021,72691,28.34565217
April 30 2021,75099,26.67
May 31 2021,76790,31.257
June 30 2021,78553,33.96863636
July 31 2021,81096,29.81190476
August 31 2021,83159,27.95954545
September 30 2021,84768,28.38619048
October 31 2021,86937,32.7647619
November 30 2021,89124,32.11380952
December 31 2021,91005,29.812
January 31 2022,93010,36.1615
February 28 2022,94947,39.58210526
March 31 2022,96983,40.9873913
April 30 2022,99724,41.519
May 31 2022,101471,41.81047619
June 30 2022,103480,47.48875
